Date,TemperatureHighF,TemperatureAvgF,TemperatureLowF
2012-1-1,45,37,30
2012-1-2,30,22,18
2012-1-3,27,21,13
2012-1-4,41,34,27
2012-1-5,50,41,32
2012-1-6,57,49,43
2012-1-7,46,40,35
2012-1-8,43,37,32
2012-1-9,47,39,33
2012-1-10,53,44,36
2012-1-11,49,44,39
2012-1-12,39,30,20
2012-1-13,22,20,17
2012-1-14,21,18,15
2012-1-15,32,25,16
2012-1-16,45,40,31
2012-1-17,42,32,16
2012-1-18,26,20,12
2012-1-19,29,16,6
2012-1-20,24,16,6
2012-1-21,27,24,21
2012-1-22,46,30,17
2012-1-23,49,38,31
2012-1-24,37,32,27
2012-1-25,36,33,28
2012-1-26,37,35,33
2012-1-27,45,38,34
2012-1-28,34,32,27
2012-1-29,32,29,24
2012-1-30,54,40,24
2012-1-31,58,52,46
2012-2-1,46,39,37
2012-2-2,48,40,36
2012-2-3,38,36,34
2012-2-4,38,37,34
2012-2-5,40,37,33
2012-2-6,35,32,30
2012-2-7,37,33,30
2012-2-8,38,32,28
2012-2-9,36,30,23
2012-2-10,36,28,15
2012-2-11,20,15,10
2012-2-12,36,26,17
2012-2-13,37,29,22
2012-2-14,37,33,29
2012-2-15,43,39,34
2012-2-16,48,42,36
2012-2-17,50,40,31
2012-2-18,39,34,32
2012-2-19,34,32,30
2012-2-20,44,37,30
2012-2-21,42,39,34
2012-2-22,44,39,35
2012-2-23,38,37,35
2012-2-24,35,32,26
2012-2-25,30,25,21
2012-2-26,52,39,25
2012-2-27,42,34,30
2012-2-28,42,37,31
2012-2-29,61,47,35
2012-3-1,40,39,36
2012-3-2,40,37,35
2012-3-3,35,32,30
2012-3-4,33,30,27
2012-3-5,37,30,22
2012-3-6,69,52,33
2012-3-7,68,62,56
2012-3-8,63,44,38
2012-3-9,40,35,31
2012-3-10,60,45,30
2012-3-11,69,56,42
2012-3-12,66,60,53
2012-3-13,66,58,52
2012-3-14,81,70,54
2012-3-15,81,66,45
2012-3-16,71,57,44
2012-3-17,82,71,61
2012-3-18,81,71,63
2012-3-19,76,70,66
2012-3-20,86,78,68
2012-3-21,87,76,68
2012-3-22,79,71,61
2012-3-23,64,58,52
2012-3-24,59,52,49
2012-3-25,65,53,44
2012-3-26,46,40,37
2012-3-27,72,56,41
2012-3-28,67,58,47
2012-3-29,47,43,40
