T: 0.400000	E: -1.999755
T: 0.500000	E: -1.999753
T: 0.600000	E: -1.999745
T: 0.700000	E: -1.999753
T: 0.800000	E: -1.999474
T: 0.900000	E: -1.998716
T: 1.000000	E: -1.997151
T: 1.100000	E: -1.993888
T: 1.200000	E: -1.988558
T: 1.300000	E: -1.980027
T: 1.400000	E: -1.968049
T: 1.500000	E: -1.950863
T: 1.600000	E: -1.928134
T: 1.700000	E: -1.897802
T: 1.800000	E: -1.858562
T: 1.900000	E: -1.809250
T: 2.000000	E: -1.744388
T: 2.100000	E: -1.660173
T: 2.200000	E: -1.544997
T: 2.300000	E: -1.354323
T: 2.400000	E: -1.203157
T: 2.500000	E: -1.106828
T: 2.600000	E: -1.027643
T: 2.700000	E: -0.962874
T: 2.800000	E: -0.907137
T: 2.900000	E: -0.860704
T: 3.000000	E: -0.816314
T: 3.100000	E: -0.779200
T: 3.200000	E: -0.745137
T: 3.300000	E: -0.714637
T: 3.400000	E: -0.686392
T: 3.500000	E: -0.660999
T: 3.600000	E: -0.635900
T: 3.700000	E: -0.613940
T: 3.800000	E: -0.594437
T: 3.900000	E: -0.575331
T: 4.000000	E: -0.558381
T: 4.100000	E: -0.540548
T: 4.200000	E: -0.524210
T: 4.300000	E: -0.510657
T: 4.400000	E: -0.497522
T: 4.500000	E: -0.483294
T: 4.600000	E: -0.471364
T: 4.700000	E: -0.459458
T: 4.800000	E: -0.448572
T: 4.900000	E: -0.437555
