T: 1.000000	M: 0.999272
T: 1.050000	M: 0.998867
T: 1.100000	M: 0.998424
T: 1.150000	M: 0.997745
T: 1.200000	M: 0.997030
T: 1.250000	M: 0.995945
T: 1.300000	M: 0.994737
T: 1.350000	M: 0.993230
T: 1.400000	M: 0.991322
T: 1.450000	M: 0.989172
T: 1.500000	M: 0.986387
T: 1.550000	M: 0.983344
T: 1.600000	M: 0.979611
T: 1.650000	M: 0.975198
T: 1.700000	M: 0.969922
T: 1.750000	M: 0.964030
T: 1.800000	M: 0.956793
T: 1.850000	M: 0.948322
T: 1.900000	M: 0.937979
T: 1.950000	M: 0.925766
T: 2.000000	M: 0.910213
T: 2.050000	M: 0.892237
T: 2.100000	M: 0.869455
T: 2.150000	M: 0.832832
T: 2.200000	M: 0.779885
T: 2.250000	M: 0.705055
T: 2.300000	M: 0.488537
T: 2.350000	M: 0.088752
T: 2.400000	M: 0.024539
T: 2.450000	M: -0.002715
T: 2.500000	M: -0.016146
T: 2.550000	M: -0.006306
T: 2.600000	M: -0.003169
T: 2.650000	M: -0.001064
T: 2.700000	M: 0.001141
T: 2.750000	M: -0.002734
T: 2.800000	M: -0.003829
T: 2.850000	M: 0.000352
T: 2.900000	M: 0.003451
T: 2.950000	M: 0.002836
T: 3.000000	M: -0.000840
T: 3.050000	M: 0.000190
T: 3.100000	M: 0.001952
T: 3.150000	M: -0.001215
T: 3.200000	M: 0.002227
T: 3.250000	M: -0.001675
T: 3.300000	M: -0.000436
T: 3.350000	M: 0.001076
T: 3.400000	M: -0.001354
T: 3.450000	M: -0.000551
T: 3.500000	M: 0.000133
T: 3.550000	M: 0.001537
T: 3.600000	M: -0.000703
T: 3.650000	M: 0.000373
T: 3.700000	M: -0.001736
T: 3.750000	M: -0.000213
T: 3.800000	M: 0.000262
T: 3.850000	M: -0.000905
T: 3.900000	M: -0.000423
T: 3.950000	M: -0.000723
T: 4.000000	M: 0.000622
T: 4.050000	M: -0.000736
T: 4.100000	M: 0.001036
T: 4.150000	M: -0.000034
T: 4.200000	M: -0.000283
T: 4.250000	M: 0.000439
T: 4.300000	M: 0.000320
T: 4.350000	M: -0.000023
T: 4.400000	M: 0.000011
T: 4.450000	M: 0.000318
T: 4.500000	M: -0.000316
T: 4.550000	M: 0.000976
T: 4.600000	M: 0.000085
T: 4.650000	M: -0.000041
T: 4.700000	M: 0.000033
T: 4.750000	M: 0.000106
T: 4.800000	M: 0.000212
T: 4.850000	M: 0.000462
T: 4.900000	M: 0.000316
T: 4.950000	M: -0.000148
