T: 1.000000	C: 0.023027
T: 1.100000	C: 0.042115
T: 1.200000	C: 0.067859
T: 1.300000	C: 0.100595
T: 1.400000	C: 0.145678
T: 1.500000	C: 0.198726
T: 1.600000	C: 0.260954
T: 1.700000	C: 0.341301
T: 1.800000	C: 0.435731
T: 1.900000	C: 0.578764
T: 2.000000	C: 0.741407
T: 2.100000	C: 0.954116
T: 2.200000	C: 1.310111
T: 2.300000	C: 1.648058
T: 2.400000	C: 1.391215
T: 2.500000	C: 1.007602
T: 2.600000	C: 0.713155
T: 2.700000	C: 0.608801
T: 2.800000	C: 0.516922
T: 2.900000	C: 0.454236
T: 3.000000	C: 0.398653
T: 3.100000	C: 0.354414
T: 3.200000	C: 0.323616
T: 3.300000	C: 0.295602
T: 3.400000	C: 0.267169
T: 3.500000	C: 0.249067
T: 3.600000	C: 0.230118
T: 3.700000	C: 0.216737
T: 3.800000	C: 0.201548
T: 3.900000	C: 0.185342
T: 4.000000	C: 0.171972
T: 4.100000	C: 0.161602
T: 4.200000	C: 0.147758
T: 4.300000	C: 0.141207
T: 4.400000	C: 0.133435
T: 4.500000	C: 0.125354
T: 4.600000	C: 0.121166
T: 4.700000	C: 0.113781
T: 4.800000	C: 0.105804
T: 4.900000	C: 0.102843
